Group,NorthamID,sowRL_mean_Ctl,sowRL_mean_Mn,harvestRL_mean_Ctl,harvestRL_mean_Mn,RTI_mean_Ctl,RTI_mean_Mn,ChangeRL_mean_Ctl,ChangeRL_mean_Mn,Stdry_perP_Ctl,Stdry_perP_Mn,Rtdry_perP_Ctl,Rtdry_perP_Mn,RRL,RRTI,RRtdry,RStdry
Exp1,10032,43.11111111111112,50.11111111111112,248.0555555555556,203.33333333333331,5.862606652197663,4.600685179953473,203.5,154.22222222222223,0.1729444444444444,0.1253888888888888,0.0871666666666666,0.0655555555555555,0.8197088465845465,0.7847507862784646,0.7520713830465263,0.7250240925152587
Exp1,1020,35.77777777777778,27.33333333333333,271.1111111111111,135.94444444444446,8.03845592665684,4.735132449824512,235.16666666666663,107.27777777777776,0.0972777777777777,0.0651666666666666,0.0476666666666666,0.039,0.5014344262295083,0.5890599504467066,0.8181818181818182,0.6699029126213591
Exp1,1021,34.22222222222222,33.77777777777778,224.7222222222222,183.33333333333331,6.741616616616617,5.748810647938555,190.94444444444443,149.55555555555554,0.2038333333333333,0.1912222222222222,0.0944444444444444,0.0764444444444444,0.8158220024721881,0.8527347333529748,0.8094117647058823,0.9381302807304444
Exp1,1022,37.44444444444444,36.0,254.16666666666663,164.0,6.523274170924611,4.890667311162711,213.88888888888889,127.7222222222222,0.1922222222222222,0.1659444444444444,0.1009444444444444,0.0732777777777777,0.6452459016393443,0.7497258559147003,0.7259218492019812,0.8632947976878613
Exp1,1023,37.11111111111111,32.111111111111114,207.2222222222222,171.25,5.638888888888889,5.122895622895623,167.2222222222222,130.5,0.1900555555555555,0.16225,0.0973888888888889,0.07425,0.8264075067024129,0.9084938050455292,0.7624073017683969,0.8536977491961415
Exp1,1025,41.77777777777778,45.333333333333336,213.5,196.1111111111111,7.105406239479295,5.094286783175672,171.6111111111111,150.77777777777777,0.2403888888888889,0.1758888888888889,0.1349999999999999,0.0817777777777777,0.9185532136351808,0.7169592577086763,0.6057613168724281,0.7316847700485325
Exp1,1026,41.22222222222222,39.22222222222222,229.88888888888889,182.22222222222223,5.962830226040672,5.439669093080917,188.66666666666663,143.0,0.2454444444444444,0.1607777777777778,0.1101111111111111,0.0618888888888888,0.7926534557757372,0.9122629501213998,0.5620585267406659,0.6550475328202807
Exp1,1027,50.77777777777778,52.88888888888889,259.38888888888886,224.1111111111111,5.222062997024595,4.844443834908432,208.2222222222222,171.22222222222226,0.1704444444444444,0.1547777777777777,0.0836111111111111,0.0677777777777777,0.8639965731420004,0.9276877428841206,0.8106312292358804,0.9080834419817472
Exp1,1029,28.666666666666668,25.38888888888889,193.33333333333331,180.83333333333331,6.8308302808302805,5.909274193548387,165.33333333333334,150.0,0.22,0.1631666666666666,0.0936666666666666,0.0683333333333333,0.9353448275862069,0.8650887155155786,0.7295373665480426,0.7416666666666666
Exp1,1030,33.22222222222222,34.666666666666664,243.8888888888889,209.44444444444449,9.13988587859386,6.818620268620268,210.66666666666663,176.05555555555557,0.1585555555555555,0.1335555555555555,0.0907777777777777,0.0741666666666666,0.8587699316628701,0.7460290379106231,0.8170134638922889,0.8423265592151367
